,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,0,1413,"DOLE: Thank you very much, Jim.",1,24_1996,0,0,1739,1771,,"{""O"": 9}",O," Thank you very much, Jim.",DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,O,111.12,113.96,clip_0
1,1,1,1414,Let me first give you a sports update.,1,24_1996,1,1,1771,1810,,"{""O"": 9}",O,Let me first give you a sports update.,DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,O,113.96,117.12,clip_1
2,2,2,1415,"The Braves, one; the Cardinals, nothing, early on.",1,24_1996,2,2,1810,1861,,"{""O"": 13}",O,"The Braves, one; the Cardinals, nothing, early on.",DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,O,117.12,123.16,clip_2
3,3,3,1416,I want to thank you and I want to thank everybody here tonight.,1,24_1996,3,3,1861,1925,,"{""O"": 14}",O,I want to thank you and I want to thank everybody here tonight.,DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,O,123.16,125.6,clip_3
4,4,4,1417,"I want to give a special thanks to my wife Elizabeth, my daughter Robin for their love and support, and thank the people who are listening and watching all over America.",1,24_1996,4,4,1925,2095,,"{""O"": 34}",O,"I want to give a special thanks to my wife Elizabeth, my daughter Robin for their love and support, and thank the people who are listening and watching all over America.",DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,O,125.6,135.92,clip_4
5,5,5,1418,"In 20 days, you will help decide who will lead this country into the next century.",1,24_1996,5,5,2095,2178,,"{""Premise"": 17, ""O"": 1}",Premise,"In 20 days, you will help decide who will lead this country into the next century.",DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,Premise,135.92,144.0,clip_5
6,6,6,1419,It's an awesome responsibility.,1,24_1996,6,6,2178,2210,,"{""O"": 6}",O,It's an awesome responsibility.,DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,O,144.0,147.44,clip_6
7,7,7,1420,"And you must ask yourself, do you know enough about the candidates?",1,24_1996,7,7,2210,2278,,"{""O"": 2, ""Premise"": 12}",Premise,"And you must ask yourself, do you know enough about the candidates?",DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,Premise,147.44,150.44,clip_7
8,8,8,1421,You should know as much as possible about each of us.,1,24_1996,8,8,2278,2332,,"{""Claim"": 11, ""O"": 1}",Claim,You should know as much as possible about each of us.,DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,Claim,150.44,153.68,clip_8
9,9,9,1422,Sometimes the views have been distorted.,1,24_1996,9,9,2332,2373,,"{""Premise"": 6, ""O"": 1}",Premise,Sometimes the views have been distorted.,DOLE,Candidate,TEST,16 Oct 1996,1996,Robert J. Dole,Premise,153.68,156.84,clip_9
