,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
9379,"OBAMA: Well, Alan (ph), thank you very much for the question.",2,35_2008,0,0,2063,2125,,"{""O"": 17}",O," Well, Alan (ph), thank you very much for the question.",OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,O,154.8,157.16,NOT_FOUND
9380,"I want to first, obviously, thank Belmont University, Tom, thank you, and to all of you who are participating tonight and those of you who sent e-mail questions in.",2,35_2008,1,1,2125,2290,,"{""O"": 35}",O,"I want to first, obviously, thank Belmont University, Tom, thank you, and to all of you who are participating tonight and those of you who sent e-mail questions in.",OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,O,157.16,166.56,NOT_FOUND
9381,I think everybody knows now we are in the worst financial crisis since the Great Depression.,2,35_2008,2,2,2290,2383,,"{""O"": 3, ""Claim"": 14}",Claim,I think everybody knows now we are in the worst financial crisis since the Great Depression.,OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,Claim,166.56,173.84,NOT_FOUND
9382,"And a lot of you I think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college.",2,35_2008,3,3,2383,2541,,"{""O"": 2, ""Claim"": 30}",Claim,"And a lot of you I think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college.",OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,Claim,173.84,184.36,NOT_FOUND
9383,"And I believe this is a final verdict on the failed economic policies of the last eight years, strongly promoted by President Bush and supported by Senator McCain, that essentially said that we should strip away regulations, consumer protections, let the market run wild, and prosperity would rain down on all of us.",2,35_2008,4,4,2542,2859,,"{""O"": 4, ""Claim"": 55}",Claim,"And I believe this is a final verdict on the failed economic policies of the last eight years, strongly promoted by President Bush and supported by Senator McCain, that essentially said that we should strip away regulations, consumer protections, let the market run wild, and prosperity would rain down on all of us.",OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,Claim,184.36,204.28,NOT_FOUND
9384,It hasn't worked out that way.,2,35_2008,5,5,2860,2891,,"{""Premise"": 7, ""O"": 1}",Premise,It hasn't worked out that way.,OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,Premise,204.28,206.56,NOT_FOUND
9385,And so now we've got to take some decisive action.,2,35_2008,6,6,2891,2942,,"{""O"": 4, ""Premise"": 8}",Premise,And so now we've got to take some decisive action.,OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,Premise,206.56,210.48,NOT_FOUND
9386,"OBAMA: Now, step one was a rescue package that was passed last week.",3,35_2008,0,0,2944,3013,,"{""O"": 5, ""Premise"": 11}",Premise," Now, step one was a rescue package that was passed last week.",OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,Premise,210.48,214.72,NOT_FOUND
9387,We've got to make sure that works properly.,3,35_2008,1,1,3013,3057,,"{""Premise"": 9, ""O"": 1}",Premise,We've got to make sure that works properly.,OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,Premise,214.72,217.52,NOT_FOUND
9388,"And that means strong oversight, making sure that investors, taxpayers are getting their money back and treated as investors.",3,35_2008,2,2,3057,3183,,"{""O"": 2, ""Claim"": 20}",Claim,"And that means strong oversight, making sure that investors, taxpayers are getting their money back and treated as investors.",OBAMA,Candidate,VALIDATION,07 Oct 2008,2008,Barack H. Obama,Claim,217.52,224.76,NOT_FOUND
