,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
17895,"FORD: Mr. Kraft, I believe that the American people, in the next four years under a Ford administration, will be called upon to make those necessary sacrifices to preserve the peace which we have.",2,7_1976,0,0,2776,2973,,"{""O"": 6, ""Claim"": 33}",Claim," Mr. Kraft, I believe that the American people, in the next four years under a Ford administration, will be called upon to make those necessary sacrifices to preserve the peace which we have.",FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,Claim,175.64,191.44,NOT_FOUND
17896,"Which means, of course, that uh - we will have to maintain an adequate military capability - which means, of course, that we will have to add a uh - I think uh - a few billion dollars to our defense appropriations to make certain that we have adequate uh -strategic forces - adequate conventional forces.",2,7_1976,1,1,2973,3278,,"{""O"": 18, ""Premise"": 23, ""Claim"": 20}",Premise,"Which means, of course, that uh - we will have to maintain an adequate military capability - which means, of course, that we will have to add a uh - I think uh - a few billion dollars to our defense appropriations to make certain that we have adequate uh -strategic forces - adequate conventional forces.",FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,Mixed,191.44,216.32,NOT_FOUND
17897,"I think the American people will be called upon to uh - uh - be in the forefront in giving leadership to the solution of those problems that must be solved in the Middle East, in southern Africa, and any problems that might arise in the Pacific.",2,7_1976,2,2,3278,3524,,"{""Claim"": 49, ""O"": 1}",Claim,"I think the American people will be called upon to uh - uh - be in the forefront in giving leadership to the solution of those problems that must be solved in the Middle East, in southern Africa, and any problems that might arise in the Pacific.",FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,Claim,216.32,237.2,NOT_FOUND
17898,The American people will be called upon to tighten their belts a bit in meeting some of the problems that we face domestically.,2,7_1976,3,3,3524,3652,,"{""Claim"": 23, ""O"": 1}",Claim,The American people will be called upon to tighten their belts a bit in meeting some of the problems that we face domestically.,FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,Claim,237.2,246.16,NOT_FOUND
17899,I don't think that uh - America can go on a big spending spree with a whole lot of new programs uh - that would add significantly to the federal budget.,2,7_1976,4,4,3652,3805,,"{""Claim"": 32, ""O"": 1}",Claim,I don't think that uh - America can go on a big spending spree with a whole lot of new programs uh - that would add significantly to the federal budget.,FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,Claim,246.16,259.04,NOT_FOUND
17900,"I believe that the American people, if given the leadership that I would expect to give, would be willing to give this thrust to preserve the peace and the necessary restraint at home to hold the lid on spending so that we could, I think, have a long overdue and totally justified tax decrease for the middle-income people.",2,7_1976,5,5,3805,4129,,"{""Claim"": 50, ""O"": 3, ""Premise"": 10}",Claim,"I believe that the American people, if given the leadership that I would expect to give, would be willing to give this thrust to preserve the peace and the necessary restraint at home to hold the lid on spending so that we could, I think, have a long overdue and totally justified tax decrease for the middle-income people.",FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,Mixed,259.04,286.16,NOT_FOUND
17901,"And then, with the economy that would be generated from a restraint on spending, and a tax uh reduction primarily for the middle-income people, then I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years.",2,7_1976,6,6,4129,4402,,"{""O"": 7, ""Premise"": 22, ""Claim"": 23}",Claim,"And then, with the economy that would be generated from a restraint on spending, and a tax uh reduction primarily for the middle-income people, then I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years.",FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,Mixed,286.16,306.84,NOT_FOUND
17902,"FORD: Surely, surely, overlapping.",4,7_1976,0,0,4465,4500,,"{""O"": 8}",O," Surely, surely, overlapping.",FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,O,308.68,309.84,NOT_FOUND
17903,"Doesn't your policy really imply that we're going to have a fairly high rate of unemployment over a fairly long time, that growth is gonna be fairly slow, and that we're not gonna be able to do much - very much in the next four or five years to meet the basic agenda of our national needs in the cities, in health, uh in transit and a whole lot of things like that.",4,7_1976,1,1,4500,4866,,"{""O"": 13, ""Claim"": 70}",Claim,"Doesn't your policy really imply that we're going to have a fairly high rate of unemployment over a fairly long time, that growth is gonna be fairly slow, and that we're not gonna be able to do much - very much in the next four or five years to meet the basic agenda of our national needs in the cities, in health, uh in transit and a whole lot of things like that.",FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,Claim,309.84,328.92,NOT_FOUND
17904,FORD: Not at all.,5,7_1976,0,0,4867,4885,,"{""O"": 6}",O, Not at all.,FORD,Candidate,TEST,22 Oct 1976,1976,Gerald R. Ford,O,328.92,329.52,NOT_FOUND
