,Unnamed: 0,Unnamed: 0.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,10162,MONDALE: I believe that the question oversimplifies the difficulties of what we must do in Central America.,3,12_1984,0,0,1978,2086,,"{""O"": 3, ""Claim"": 16}",Claim, I believe that the question oversimplifies the difficulties of what we must do in Central America.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Claim,135.96,143.56,clip_0
1,1,10163,"Our objectives ought to be to strengthen the democracies, to stop Communist and other extremist influences, and stabilize the community in that area.",3,12_1984,1,1,2086,2236,,"{""Premise"": 22, ""O"": 4}",Premise,"Our objectives ought to be to strengthen the democracies, to stop Communist and other extremist influences, and stabilize the community in that area.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,143.56,155.04,clip_1
2,2,10164,"To do that we need a three-pronged attack: one is military assistance to our friends who are being pressured; secondly, a strong and sophisticated economic aid program and human rights program that offers a better life and a sharper alternative to the alternative offered by the totalitarians who oppose us; and finally, a strong diplomatic effort that pursues the possibilities of peace in the area.",3,12_1984,2,2,2236,2637,,"{""O"": 8, ""Claim"": 5, ""Premise"": 58}",Premise,"To do that we need a three-pronged attack: one is military assistance to our friends who are being pressured; secondly, a strong and sophisticated economic aid program and human rights program that offers a better life and a sharper alternative to the alternative offered by the totalitarians who oppose us; and finally, a strong diplomatic effort that pursues the possibilities of peace in the area.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Mixed,155.04,188.08,clip_2
3,3,10165,That's one of the big disagreements that we have with the President -- that they have not pursued the diplomatic opportunities either within El Salvador or as between the countries and have lost time during which we might have been able to achieve a peace  This brings up the whole question of what Presidential leadership is all about.,3,12_1984,3,3,2637,2974,,"{""O"": 29, ""Premise"": 31}",Premise,That's one of the big disagreements that we have with the President -- that they have not pursued the diplomatic opportunities either within El Salvador or as between the countries and have lost time during which we might have been able to achieve a peace  This brings up the whole question of what Presidential leadership is all about.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,188.08,213.6,clip_3
4,4,10166,"I think the lesson in Central America, this recent embarrassment in Nicaragua where we are giving instructions for hired assassins, hiring criminals, and the rest -- all of this has strengthened our opponents.",3,12_1984,4,4,2974,3184,,"{""Claim"": 36, ""O"": 1}",Claim,"I think the lesson in Central America, this recent embarrassment in Nicaragua where we are giving instructions for hired assassins, hiring criminals, and the rest -- all of this has strengthened our opponents.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Claim,213.6,229.2,clip_4
5,5,10167,"A President must not only assure that we're tough, but we must also be wise and smart in the exercise of that power.",3,12_1984,5,5,3185,3302,,"{""Premise"": 25, ""O"": 1}",Premise,"A President must not only assure that we're tough, but we must also be wise and smart in the exercise of that power.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,229.2,237.32,clip_5
6,6,10168,"We saw the same thing in Lebanon, where we spent a good deal of America's assets.",3,12_1984,6,6,3302,3384,,"{""Premise"": 18, ""O"": 1}",Premise,"We saw the same thing in Lebanon, where we spent a good deal of America's assets.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,237.32,243.84,clip_6
7,7,10169,"But because the leadership of this government did not pursue wise policies, we have been humiliated, and our opponents are stronger.",3,12_1984,7,7,3384,3517,,"{""O"": 6, ""Claim"": 18}",Claim,"But because the leadership of this government did not pursue wise policies, we have been humiliated, and our opponents are stronger.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Claim,243.84,252.76,clip_7
8,8,10170,"The bottom line of national strength is that the President must be in command, he must lead.",3,12_1984,8,8,3518,3611,,"{""O"": 10, ""Premise"": 9}",O,"The bottom line of national strength is that the President must be in command, he must lead.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Mixed,252.76,259.72,clip_8
9,9,10171,"And when a President doesn't know that submarine missiles are recallable, says that 70 percent of our strategic forces are conventional, discovers 3 years into his administration that our arms control efforts have failed because he didn't know that most Soviet missiles were on land -- these are things a President must know to command.",3,12_1984,9,9,3611,3948,,"{""O"": 5, ""Premise"": 46, ""Claim"": 9}",Premise,"And when a President doesn't know that submarine missiles are recallable, says that 70 percent of our strategic forces are conventional, discovers 3 years into his administration that our arms control efforts have failed because he didn't know that most Soviet missiles were on land -- these are things a President must know to command.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Mixed,259.72,282.28,clip_9
10,10,10172,A President is called the Commander in Chief.,3,12_1984,10,10,3949,3995,,"{""Premise"": 8, ""O"": 1}",Premise,A President is called the Commander in Chief.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,282.28,285.2,clip_10
11,11,10173,And he's called that because he's supposed to be in charge of the facts and run our government and strengthen our nation.,3,12_1984,11,11,3995,4117,,"{""O"": 5, ""Claim"": 4, ""Premise"": 16}",Premise,And he's called that because he's supposed to be in charge of the facts and run our government and strengthen our nation.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Mixed,285.2,292.72,clip_11
12,12,10174,"MONDALE: We absolutely must, which is why I responded to your first question the way I did.",5,12_1984,0,0,4637,4729,,"{""O"": 17, ""Claim"": 3}",O," We absolutely must, which is why I responded to your first question the way I did.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Mixed,327.32,331.96,clip_12
13,13,10175,It's much more complex.,5,12_1984,1,1,4729,4753,,"{""O"": 6}",O,It's much more complex.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,O,331.96,334.12,clip_13
14,14,10176,You must understand the region; you must understand the politics in the area; you must provide a strong alternative; and you must show strength -- and all at the same time.,5,12_1984,2,2,4753,4926,,"{""Premise"": 28, ""O"": 7}",Premise,You must understand the region; you must understand the politics in the area; you must provide a strong alternative; and you must show strength -- and all at the same time.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,334.12,344.2,clip_14
15,15,10177,That's why I object to the covert action in Nicaragua.,5,12_1984,3,3,4926,4981,,"{""O"": 4, ""Claim"": 8}",Claim,That's why I object to the covert action in Nicaragua.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Claim,344.2,347.72,clip_15
16,16,10178,"That's a classic example of a strategy that's embarrassed us, strengthened our opposition, and undermined the moral authority of our people and our country in the region.",5,12_1984,4,4,4981,5152,,"{""Premise"": 28, ""O"": 4}",Premise,"That's a classic example of a strategy that's embarrassed us, strengthened our opposition, and undermined the moral authority of our people and our country in the region.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,347.72,361.28,clip_16
17,17,10179,"Strength requires knowledge, command.",5,12_1984,5,5,5152,5190,,"{""O"": 6}",O,"Strength requires knowledge, command.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,O,361.28,364.8,clip_17
18,18,10180,"We've seen in the Nicaraguan example a policy that has actually hurt us, strengthened our opposition, and undermined the moral authority of our country in that region.",5,12_1984,6,6,5190,5358,,"{""Premise"": 27, ""O"": 4}",Premise,"We've seen in the Nicaraguan example a policy that has actually hurt us, strengthened our opposition, and undermined the moral authority of our country in that region.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,364.8,376.4,clip_18
19,19,10181,"REAGAN: No, but I'm glad you asked that question, because I know it's on many peoples' minds.",7,12_1984,0,0,5866,5960,,"{""O"": 14, ""Claim"": 10}",O," No, but I'm glad you asked that question, because I know it's on many peoples' minds.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Mixed,408.64,412.72,clip_19
20,20,10182,I have ordered an investigation.,7,12_1984,1,1,5960,5993,,"{""Premise"": 5, ""O"": 1}",Premise,I have ordered an investigation.,REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,412.72,414.72,clip_20
21,21,10183,I know that the CIA is already going forward with one.,7,12_1984,2,2,5993,6048,,"{""Premise"": 11, ""O"": 1}",Premise,I know that the CIA is already going forward with one.,REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,414.72,417.32,clip_21
22,22,10184,"We have a gentleman down in Nicaragua who is on contract to the CIA, advising -- supposedly on military tactics -- the contras.",7,12_1984,3,3,6048,6176,,"{""Premise"": 24, ""O"": 1}",Premise,"We have a gentleman down in Nicaragua who is on contract to the CIA, advising -- supposedly on military tactics -- the contras.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,417.32,429.96,clip_22
23,23,10185,And he drew up this manual.,7,12_1984,4,4,6176,6204,,"{""O"": 2, ""Premise"": 5}",Premise,And he drew up this manual.,REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,429.96,432.76,clip_23
24,24,10186,It was turned over to the agency head of the CIA in Nicaragua to be printed.,7,12_1984,5,5,6204,6281,,"{""Premise"": 16, ""O"": 1}",Premise,It was turned over to the agency head of the CIA in Nicaragua to be printed.,REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,432.76,440.64,clip_24
25,25,10187,"And a number of pages were excised by that agency head there, the man in charge, and he sent it on up here to CIA, where more pages were excised before it was printed.",7,12_1984,6,6,6281,6449,,"{""O"": 2, ""Premise"": 36}",Premise,"And a number of pages were excised by that agency head there, the man in charge, and he sent it on up here to CIA, where more pages were excised before it was printed.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,440.64,452.0,clip_25
26,26,10188,"But some way or other, there were 12 of the original copies that got out down there and were not submitted for this printing process by the CIA.",7,12_1984,7,7,6449,6594,,"{""Premise"": 29, ""O"": 1}",Premise,"But some way or other, there were 12 of the original copies that got out down there and were not submitted for this printing process by the CIA.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,452.0,462.84,clip_26
27,27,10189,"Now, those are the details as we have them.",7,12_1984,8,8,6594,6638,,"{""O"": 11}",O,"Now, those are the details as we have them.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,O,462.84,465.2,clip_27
28,28,10190,"And as soon as we have an investigation and find out where any blame lies for the few that did not get excised or changed, we certainly are going to do something about that.",7,12_1984,9,9,6638,6812,,"{""O"": 2, ""Claim"": 34}",Claim,"And as soon as we have an investigation and find out where any blame lies for the few that did not get excised or changed, we certainly are going to do something about that.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Claim,465.2,477.8,clip_28
29,29,10191,We'll take the proper action at the proper time.,7,12_1984,10,10,6812,6861,,"{""Claim"": 10, ""O"": 1}",Claim,We'll take the proper action at the proper time.,REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Claim,477.8,481.12,clip_29
30,30,10192,"I was very interested to hear about Central America and our process down there, and I thought for a moment that instead of a debate I was going to find Mr. Mondale in complete agreement with what we're doing, because the plan that he has outlined is the one we've been following for quite some time, including diplomatic processes throughout Central America and working closely with the Contadora group.",7,12_1984,11,11,6862,7266,,"{""O"": 19, ""Claim"": 25, ""Premise"": 31}",Premise,"I was very interested to hear about Central America and our process down there, and I thought for a moment that instead of a debate I was going to find Mr. Mondale in complete agreement with what we're doing, because the plan that he has outlined is the one we've been following for quite some time, including diplomatic processes throughout Central America and working closely with the Contadora group.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Mixed,481.12,507.16,clip_30
31,31,10193,"So, I can only tell you about the manual -- that we're not in the habit of assigning guilt before there has been proper evidence produced and proof of that guilt.",7,12_1984,12,12,7267,7430,,"{""O"": 13, ""Premise"": 21}",Premise,"So, I can only tell you about the manual -- that we're not in the habit of assigning guilt before there has been proper evidence produced and proof of that guilt.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,507.16,519.84,clip_31
32,32,10194,"But if guilt is established, whoever is guilty we will treat with that situation then, and they will be removed.",7,12_1984,13,13,7430,7543,,"{""O"": 5, ""Premise"": 4, ""Claim"": 14}",Claim,"But if guilt is established, whoever is guilty we will treat with that situation then, and they will be removed.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Mixed,519.84,529.0,clip_32
33,33,10195,REAGAN: I'm afraid I misspoke when I said a CIA head in Nicaragua.,9,12_1984,0,0,7823,7890,,"{""O"": 6, ""Premise"": 10}",Premise, I'm afraid I misspoke when I said a CIA head in Nicaragua.,REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,548.76,552.84,clip_33
34,34,10196,There's not someone there directing all of this activity.,9,12_1984,1,1,7890,7948,,"{""Premise"": 10, ""O"": 1}",Premise,There's not someone there directing all of this activity.,REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,552.84,556.12,clip_34
35,35,10197,"There are, as you know, CIA men stationed in other countries in the world and, certainly, in Central America.",9,12_1984,2,2,7948,8058,,"{""Premise"": 23, ""O"": 1}",Premise,"There are, as you know, CIA men stationed in other countries in the world and, certainly, in Central America.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,556.12,563.48,clip_35
36,36,10198,"And so it was a man down there in that area that this was delivered to, and he recognized that what was in that manual was in direct contravention of my own Executive order, in December of 1981, that we would have nothing to do with regard to political assassinations.",9,12_1984,3,3,8058,8327,,"{""O"": 5, ""Premise"": 49}",Premise,"And so it was a man down there in that area that this was delivered to, and he recognized that what was in that manual was in direct contravention of my own Executive order, in December of 1981, that we would have nothing to do with regard to political assassinations.",REAGAN,Candidate,TEST,21 Oct 1984,1984,Ronald W. Reagan,Premise,563.48,584.36,clip_36
37,37,10199,MONDALE: What is a President charged with doing when he takes his oath of office?,11,12_1984,0,0,8365,8447,,"{""O"": 17}",O, What is a President charged with doing when he takes his oath of office?,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,O,586.92,591.72,clip_37
38,38,10200,He raises his right hand and takes an oath of office to take care to faithfully execute the laws of the land.,11,12_1984,1,1,8447,8557,,"{""O"": 23}",O,He raises his right hand and takes an oath of office to take care to faithfully execute the laws of the land.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,O,591.72,601.44,clip_38
39,39,10201,"A President can't know everything, but a President has to know those things that are essential to his leadership and the enforcement of our laws.",11,12_1984,2,2,8557,8703,,"{""Premise"": 6, ""O"": 3, ""Claim"": 19}",Claim,"A President can't know everything, but a President has to know those things that are essential to his leadership and the enforcement of our laws.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Mixed,601.44,610.84,clip_39
40,40,10202,"This manual -- several thousands of which were produced -- was distributed, ordering political assassinations, hiring of criminals, and other forms of terrorism.",11,12_1984,3,3,8703,8865,,"{""Premise"": 26, ""O"": 1}",Premise,"This manual -- several thousands of which were produced -- was distributed, ordering political assassinations, hiring of criminals, and other forms of terrorism.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,610.84,620.52,clip_40
41,41,10203,"Some of it was excised, but the part dealing with political terrorism was continued.",11,12_1984,4,4,8865,8950,,"{""Premise"": 15, ""O"": 1}",Premise,"Some of it was excised, but the part dealing with political terrorism was continued.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,620.52,625.88,clip_41
42,42,10204,How can this happen?,11,12_1984,5,5,8950,8971,,"{""O"": 5}",O,How can this happen?,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,O,625.88,627.32,clip_42
43,43,10205,How can something this serious occur in an administration and have a President of the United States in a situation like this say he didn't know?,11,12_1984,6,6,8971,9116,,"{""O"": 28}",O,How can something this serious occur in an administration and have a President of the United States in a situation like this say he didn't know?,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,O,627.32,636.88,clip_43
44,44,10206,A President must know these things.,11,12_1984,7,7,9116,9152,,"{""Claim"": 6, ""O"": 1}",Claim,A President must know these things.,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Claim,636.88,638.84,clip_44
45,45,10207,"I don't know which is worse, not knowing or knowing and not stopping it.",11,12_1984,8,8,9152,9225,,"{""O"": 17}",O,"I don't know which is worse, not knowing or knowing and not stopping it.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,O,638.84,644.36,clip_45
46,46,10208,And what about the mining of the harbors in Nicaragua which violated international law?,11,12_1984,9,9,9226,9314,,"{""O"": 1, ""Premise"": 14}",Premise,And what about the mining of the harbors in Nicaragua which violated international law?,MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Premise,644.36,649.4,clip_46
47,47,10209,"This has hurt this country, and a President's supposed to command.",11,12_1984,10,10,9314,9381,,"{""Claim"": 5, ""O"": 4, ""Premise"": 5}",Claim,"This has hurt this country, and a President's supposed to command.",MONDALE,Candidate,TEST,21 Oct 1984,1984,Walter F. Mondale,Mixed,649.4,654.36,clip_47
