,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,0,14017,"CLINTON: Thank you, Jim.",1,22_1996,0,0,1011,1036,,"{""O"": 7}",O," Thank you, Jim.",CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,O,65.4,66.6,clip_0
1,1,1,14018,"And thank you to the people of Hartford, our hosts.",1,22_1996,1,1,1036,1088,,"{""O"": 12}",O,"And thank you to the people of Hartford, our hosts.",CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,O,66.6,69.52,clip_1
2,2,2,14019,"I want to begin by saying again how much I respect Senator Dole and his record of public service and how hard I will try to make this campaign and this debate one of ideas, not insults.",1,22_1996,2,2,1088,1274,,"{""O"": 39}",O,"I want to begin by saying again how much I respect Senator Dole and his record of public service and how hard I will try to make this campaign and this debate one of ideas, not insults.",CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,O,69.52,81.84,clip_2
3,3,3,14020,Four years ago I ran for president at a time of high unemployment and rising frustration.,1,22_1996,3,3,1275,1365,,"{""Premise"": 16, ""O"": 1}",Premise,Four years ago I ran for president at a time of high unemployment and rising frustration.,CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,Premise,81.84,88.28,clip_3
4,4,4,14021,"I wanted to turn this country around with a program of opportunity for all, responsibility from all, and an American community where everybody has a role to play.",1,22_1996,4,4,1365,1528,,"{""Premise"": 30, ""O"": 1}",Premise,"I wanted to turn this country around with a program of opportunity for all, responsibility from all, and an American community where everybody has a role to play.",CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,Premise,88.28,98.88,clip_4
5,5,5,14022,I wanted a government that was smaller and less bureaucratic to help people make the most of their own lives.,1,22_1996,5,5,1528,1638,,"{""Premise"": 20, ""O"": 1}",Premise,I wanted a government that was smaller and less bureaucratic to help people make the most of their own lives.,CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,Premise,98.88,105.88,clip_5
6,6,6,14023,Four years ago you took me on faith.,1,22_1996,6,6,1638,1675,,"{""Premise"": 8, ""O"": 1}",Premise,Four years ago you took me on faith.,CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,Premise,105.88,109.64,clip_6
7,7,7,14024,"Now there's a record: Ten and a half million more jobs, rising incomes, falling crime rates and welfare rolls, a strong America at peace.",1,22_1996,7,7,1675,1813,,"{""Premise"": 29, ""O"": 1}",Premise,"Now there's a record: Ten and a half million more jobs, rising incomes, falling crime rates and welfare rolls, a strong America at peace.",CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,Premise,109.64,121.12,clip_7
8,9,9,14026,Let's keep it going.,1,22_1996,9,9,1861,1882,,"{""O"": 6}",O,Let's keep it going.,CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,O,124.72,126.72,clip_9
9,10,10,14027,We cut the deficit by 60 percent.,1,22_1996,10,10,1882,1916,,"{""Premise"": 7, ""O"": 1}",Premise,We cut the deficit by 60 percent.,CLINTON,Candidate,TRAIN,06 Oct 1996,1996,William(Bill) J. Clinton,Premise,126.72,129.2,clip_10
