,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
24572,"GORE: Well, Jim, first of all, I would like to thank the sponsors of this debate and the people of Boston for hosting the debate.",2,25_2000,0,0,1695,1825,,"{""O"": 30}",O," Well, Jim, first of all, I would like to thank the sponsors of this debate and the people of Boston for hosting the debate.",GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,O,135.72,143.08,NOT_FOUND
24573,"I would like to thank Governor Bush for participating, and I would like to say I'm happy to be here with Tipper and our family.",2,25_2000,1,1,1825,1953,,"{""O"": 28}",O,"I would like to thank Governor Bush for participating, and I would like to say I'm happy to be here with Tipper and our family.",GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,O,143.08,151.48,NOT_FOUND
24574,I have actually not questioned Governor Bush's experience.,2,25_2000,2,2,1953,2012,,"{""O"": 10}",O,I have actually not questioned Governor Bush's experience.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,O,151.48,156.84,NOT_FOUND
24575,I have questioned his proposals.,2,25_2000,3,3,2012,2045,,"{""O"": 6}",O,I have questioned his proposals.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,O,156.84,158.84,NOT_FOUND
24576,And here is why.,2,25_2000,4,4,2045,2062,,"{""O"": 5}",O,And here is why.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,O,158.84,160.4,NOT_FOUND
24577,I think this is a very important moment for our country.,2,25_2000,5,5,2062,2119,,"{""Claim"": 11, ""O"": 1}",Claim,I think this is a very important moment for our country.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Claim,160.4,164.68,NOT_FOUND
24578,We have achieved extraordinary prosperity.,2,25_2000,6,6,2119,2162,,"{""Premise"": 5, ""O"": 1}",Premise,We have achieved extraordinary prosperity.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Premise,164.68,167.72,NOT_FOUND
24579,"And in this election, America has to make an important choice.",2,25_2000,7,7,2162,2225,,"{""O"": 2, ""Premise"": 11}",Premise,"And in this election, America has to make an important choice.",GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Premise,167.72,173.04,NOT_FOUND
24580,"Will we use our prosperity to enrich not just the few, but all of our families?",2,25_2000,8,8,2225,2305,,"{""Premise"": 18}",Premise,"Will we use our prosperity to enrich not just the few, but all of our families?",GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Premise,173.04,179.12,NOT_FOUND
24581,I believe we have to make the right and responsible choices.,2,25_2000,9,9,2305,2366,,"{""Claim"": 11, ""O"": 1}",Claim,I believe we have to make the right and responsible choices.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Claim,179.12,182.76,NOT_FOUND
24582,"If I'm entrusted with the presidency, here are the choices that I will make.",2,25_2000,10,10,2366,2443,,"{""O"": 12, ""Premise"": 5}",O,"If I'm entrusted with the presidency, here are the choices that I will make.",GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Mixed,182.76,186.72,NOT_FOUND
24583,I will balance the budget every year.,2,25_2000,11,11,2443,2481,,"{""Claim"": 7, ""O"": 1}",Claim,I will balance the budget every year.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Claim,186.72,189.56,NOT_FOUND
24584,I will pay down the national debt.,2,25_2000,12,12,2481,2516,,"{""Claim"": 7, ""O"": 1}",Claim,I will pay down the national debt.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Claim,189.56,192.56,NOT_FOUND
24585,I will put Medicare and Social Security in a lockbox and protect them.,2,25_2000,13,13,2516,2587,,"{""Claim"": 13, ""O"": 1}",Claim,I will put Medicare and Social Security in a lockbox and protect them.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Claim,192.56,197.52,NOT_FOUND
24586,And I will cut taxes for middle-class families.,2,25_2000,14,14,2587,2635,,"{""O"": 2, ""Claim"": 7}",Claim,And I will cut taxes for middle-class families.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Claim,197.52,201.24,NOT_FOUND
24587,I believe it's important to resist the temptation to squander our surplus.,2,25_2000,15,15,2635,2710,,"{""Claim"": 13, ""O"": 1}",Claim,I believe it's important to resist the temptation to squander our surplus.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Claim,201.24,207.48,NOT_FOUND
24588,"If we make the right choices, we can have a prosperity that endures and enriches all of our people.",2,25_2000,16,16,2710,2810,,"{""Premise"": 6, ""O"": 2, ""Claim"": 13}",Claim,"If we make the right choices, we can have a prosperity that endures and enriches all of our people.",GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Mixed,207.48,214.52,NOT_FOUND
24589,"If I'm entrusted with the presidency, I will help parents and strengthen families because, you know, if we have prosperity that grows and grows, we still won't be successful unless we strengthen families by, for example, ensuring that children can always go to schools that are safe.",2,25_2000,17,17,2810,3094,,"{""Premise"": 42, ""O"": 7, ""Claim"": 7}",Premise,"If I'm entrusted with the presidency, I will help parents and strengthen families because, you know, if we have prosperity that grows and grows, we still won't be successful unless we strengthen families by, for example, ensuring that children can always go to schools that are safe.",GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Mixed,214.52,234.48,NOT_FOUND
24590,By giving parents the tools to protect their children against cultural pollution.,2,25_2000,18,18,3094,3176,,"{""Premise"": 12, ""O"": 1}",Premise,By giving parents the tools to protect their children against cultural pollution.,GORE,Candidate,TRAIN,03 Oct 2000,2000,Albert A. Gore,Premise,234.48,240.12,NOT_FOUND
