,Unnamed: 0,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,12572,"KERRY: Yes, I do.",2,29_2004,0,0,1703,1721,,"{""O"": 3, ""Claim"": 4}",Claim," Yes, I do.",KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Claim,149.16,151.12,clip_0
1,12573,"But before I answer further, let me thank you for moderating.",2,29_2004,1,1,1721,1783,,"{""O"": 13}",O,"But before I answer further, let me thank you for moderating.",KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,O,151.12,155.96,clip_1
2,12574,I want to thank the University of Miami for hosting us.,2,29_2004,2,2,1783,1839,,"{""O"": 12}",O,I want to thank the University of Miami for hosting us.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,O,155.96,159.4,clip_2
3,12575,And I know the president will join me in welcoming all of Florida to this debate.,2,29_2004,3,3,1839,1921,,"{""O"": 17}",O,And I know the president will join me in welcoming all of Florida to this debate.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,O,159.4,165.24,clip_3
4,12576,You've been through the roughest weeks anybody could imagine.,2,29_2004,4,4,1921,1983,,"{""O"": 11}",O,You've been through the roughest weeks anybody could imagine.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,O,165.24,168.84,clip_4
5,12577,Our hearts go out to you.,2,29_2004,5,5,1983,2009,,"{""O"": 7}",O,Our hearts go out to you.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,O,168.84,170.64,clip_5
6,12578,And we admire your pluck and perseverance.,2,29_2004,6,6,2009,2052,,"{""O"": 8}",O,And we admire your pluck and perseverance.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,O,170.64,174.24,clip_6
7,12579,I can make American safer than President Bush has made us.,2,29_2004,7,7,2053,2112,,"{""Claim"": 11, ""O"": 1}",Claim,I can make American safer than President Bush has made us.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Claim,174.24,179.48,clip_7
8,12580,And I believe President Bush and I both love our country equally.,2,29_2004,8,8,2113,2179,,"{""O"": 2, ""Claim"": 11}",Claim,And I believe President Bush and I both love our country equally.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Claim,179.48,184.36,clip_8
9,12581,But we just have a different set of convictions about how you make America safe.,2,29_2004,9,9,2179,2260,,"{""O"": 2, ""Claim"": 14}",Claim,But we just have a different set of convictions about how you make America safe.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Claim,184.36,189.32,clip_9
10,12582,I believe America is safest and strongest when we are leading the world and we are leading strong alliances.,2,29_2004,10,10,2261,2370,,"{""Claim"": 19, ""O"": 1}",Claim,I believe America is safest and strongest when we are leading the world and we are leading strong alliances.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Claim,189.32,197.76,clip_10
11,12583,I'll never give a veto to any country over our security.,2,29_2004,11,11,2371,2428,,"{""Premise"": 12, ""O"": 1}",Premise,I'll never give a veto to any country over our security.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Premise,197.76,201.36,clip_11
12,12584,But I also know how to lead those alliances.,2,29_2004,12,12,2428,2473,,"{""O"": 2, ""Claim"": 8}",Claim,But I also know how to lead those alliances.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Claim,201.36,204.2,clip_12
13,12585,"This president has left them in shatters across the globe, and we're now 90 percent of the casualties in Iraq and 90 percent of the costs.",2,29_2004,13,13,2474,2613,,"{""Premise"": 26, ""O"": 3}",Premise,"This president has left them in shatters across the globe, and we're now 90 percent of the casualties in Iraq and 90 percent of the costs.",KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Premise,204.2,213.92,clip_13
14,12586,"I think that's wrong, and I think we can do better.",2,29_2004,14,14,2614,2666,,"{""Claim"": 11, ""O"": 3}",Claim,"I think that's wrong, and I think we can do better.",KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Claim,213.92,216.96,clip_14
15,12587,I have a better plan for homeland security.,2,29_2004,15,15,2667,2711,,"{""Claim"": 8, ""O"": 1}",Claim,I have a better plan for homeland security.,KERRY,Candidate,TRAIN,30 Sep 2004,2004,John F. Kerry,Claim,216.96,219.4,clip_15
