,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,0,26909,BUSH: Let's go.,1,20_1992,0,0,1382,1398,,"{""O"": 6}",O, Let's go.,BUSH,Candidate,TEST,15 Oct 1992,1992,George H. W. Bush,O,96.8,97.84,clip_0
1,1,1,26910,PEROT: That's right at the top of my agenda.,4,20_1992,0,0,1730,1775,,"{""O"": 12}",O, That's right at the top of my agenda.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,O,120.12,122.44,clip_1
2,2,2,26911,"We've shipped millions of jobs overseas and we have a strange situation because we have a process in Washington where after you've served for a while you cash in, become a foreign lobbyist, make $30,000 a month, then take a leave, work on presidential campaigns, make sure you've got good contacts and then go back out.",4,20_1992,1,1,1775,2095,,"{""Claim"": 12, ""O"": 3, ""Premise"": 51}",Premise,"We've shipped millions of jobs overseas and we have a strange situation because we have a process in Washington where after you've served for a while you cash in, become a foreign lobbyist, make $30,000 a month, then take a leave, work on presidential campaigns, make sure you've got good contacts and then go back out.",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Mixed,122.44,142.64,clip_2
3,3,3,26912,"Now, if you just want to get down to brass tacks, first thing you ought to do is get all these folks who've got these 1-way trade agreements that we've negotiated over the years and say fellas, we'll take the same deal we gave you.",4,20_1992,2,2,2095,2327,,"{""O"": 3, ""Claim"": 49}",Claim,"Now, if you just want to get down to brass tacks, first thing you ought to do is get all these folks who've got these 1-way trade agreements that we've negotiated over the years and say fellas, we'll take the same deal we gave you.",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Claim,142.64,153.36,clip_3
4,4,4,26913,"And they'll gridlock right at that point because for example, we've got international competitors who simply could not unload their cars off the ships if they had to comply -- you see, if it was a 2-way street, just couldn't do it.",4,20_1992,3,3,2327,2559,,"{""O"": 6, ""Claim"": 7, ""Premise"": 36}",Premise,"And they'll gridlock right at that point because for example, we've got international competitors who simply could not unload their cars off the ships if they had to comply -- you see, if it was a 2-way street, just couldn't do it.",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Mixed,153.36,166.72,clip_4
5,5,5,26914,We have got to stop sending jobs overseas.,4,20_1992,4,4,2559,2602,,"{""Claim"": 8, ""O"": 1}",Claim,We have got to stop sending jobs overseas.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Claim,166.72,169.92,clip_5
6,6,6,26915,To those of you in the audience who are business people: pretty simple.,4,20_1992,5,5,2603,2675,,"{""O"": 15}",O,To those of you in the audience who are business people: pretty simple.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,O,169.92,174.92,clip_6
7,7,7,26916,"If you're paying $12, $13, $14 an hour for a factory worker, and you can move your factory south of the border, pay $1 an hour for labor, hire a young -- let's assume you've been in business for a long time.",4,20_1992,6,6,2675,2883,,"{""Premise"": 54, ""O"": 1}",Premise,"If you're paying $12, $13, $14 an hour for a factory worker, and you can move your factory south of the border, pay $1 an hour for labor, hire a young -- let's assume you've been in business for a long time.",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Premise,174.92,185.56,clip_7
8,8,8,26917,You've got a mature workforce.,4,20_1992,7,7,2883,2914,,"{""O"": 7}",O,You've got a mature workforce.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,O,185.56,187.08,clip_8
9,9,9,26918,"Pay $1 an hour for your labor, have no health care -- that's the most expensive single element in making the car.",4,20_1992,8,8,2914,3028,,"{""Premise"": 13, ""O"": 13}",Premise,"Pay $1 an hour for your labor, have no health care -- that's the most expensive single element in making the car.",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Premise,187.08,193.6,clip_9
10,10,10,26919,"Have no environmental controls, no pollution controls and no retirement.",4,20_1992,9,9,3028,3101,,"{""Premise"": 11, ""O"": 1}",Premise,"Have no environmental controls, no pollution controls and no retirement.",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Premise,193.6,199.24,clip_10
11,11,11,26920,And you don't care about anything but making money.,4,20_1992,10,10,3101,3153,,"{""O"": 2, ""Claim"": 9}",Claim,And you don't care about anything but making money.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Claim,199.24,201.96,clip_11
12,12,12,26921,There will be a job-sucking sound going south.,4,20_1992,11,11,3153,3200,,"{""Claim"": 8, ""O"": 1}",Claim,There will be a job-sucking sound going south.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Claim,201.96,205.0,clip_12
13,13,13,26922,If the people send me to Washington the first thing I'll do is study that 2000-page agreement and make sure it's a 2-way street.,4,20_1992,12,12,3201,3330,,"{""Premise"": 26, ""O"": 1}",Premise,If the people send me to Washington the first thing I'll do is study that 2000-page agreement and make sure it's a 2-way street.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Premise,205.0,214.12,clip_13
14,14,14,26923,One last point here.,4,20_1992,13,13,3331,3352,,"{""O"": 5}",O,One last point here.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,O,214.12,215.92,clip_14
15,15,15,26924,"I decided I was dumb and didn't understand it so I called a ""Who's Who"" of the folks that have been around it, and I said why won't everybody go south; they said it will be disruptive; I said for how long.",4,20_1992,14,14,3352,3558,,"{""O"": 51}",O,"I decided I was dumb and didn't understand it so I called a ""Who's Who"" of the folks that have been around it, and I said why won't everybody go south; they said it will be disruptive; I said for how long.",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,O,215.92,224.48,clip_15
16,16,16,26925,I finally got 'em for 12 to 15 years.,4,20_1992,15,15,3558,3596,,"{""O"": 10}",O,I finally got 'em for 12 to 15 years.,PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,O,224.48,226.64,clip_16
17,17,17,26926,"And I said, well, how does it stop being disruptive?",4,20_1992,16,16,3596,3649,,"{""O"": 13}",O,"And I said, well, how does it stop being disruptive?",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,O,226.64,228.64,clip_17
18,18,18,26927,"And that is when their jobs come up from a dollar an hour to $6 an hour, and ours go down to $6 an hour; then it's leveled again, but in the meantime you've wrecked the country with these kind of deals.",4,20_1992,17,17,3649,3852,,"{""O"": 4, ""Claim"": 46}",Claim,"And that is when their jobs come up from a dollar an hour to $6 an hour, and ours go down to $6 an hour; then it's leveled again, but in the meantime you've wrecked the country with these kind of deals.",PEROT,Candidate,TEST,15 Oct 1992,1992,Henry Ross Perot,Claim,228.64,238.24,clip_18
