,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,0,27810,"BUSH: Well, I don't think there's a great difference, Mr. Mashek, between my views and President Reagan's.",3,11_1984,0,0,2024,2131,,"{""O"": 4, ""Claim"": 21}",Claim," Well, I don't think there's a great difference, Mr. Mashek, between my views and President Reagan's.",BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Claim,131.68,137.28,clip_0
1,1,1,27811,One of the reasons I think we're an effective team is that I believe firmly in his leadership.,3,11_1984,1,1,2131,2226,,"{""Claim"": 19, ""O"": 1}",Claim,One of the reasons I think we're an effective team is that I believe firmly in his leadership.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Claim,137.28,142.4,clip_1
2,2,2,27812,He's really turned this country around.,3,11_1984,2,2,2226,2266,,"{""Claim"": 7, ""O"": 1}",Claim,He's really turned this country around.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Claim,142.4,144.96,clip_2
3,3,3,27813,We agree on the economic program.,3,11_1984,3,3,2266,2300,,"{""O"": 7}",O,We agree on the economic program.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,O,144.96,147.4,clip_3
4,4,4,27814,"When we came into office, why, inflation was 21, 12 1/2 percent interest was wiping out every single American were 21 1/2 percent if you can believe it.",3,11_1984,4,4,2300,2453,,"{""Premise"": 32}",Premise,"When we came into office, why, inflation was 21, 12 1/2 percent interest was wiping out every single American were 21 1/2 percent if you can believe it.",BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Premise,147.4,158.4,clip_4
5,5,5,27815,Productivity was down.,3,11_1984,5,5,2453,2476,,"{""Premise"": 3, ""O"": 1}",Premise,Productivity was down.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Premise,158.4,160.48,clip_5
6,6,6,27816,Savings was down.,3,11_1984,6,6,2476,2494,,"{""Premise"": 3, ""O"": 1}",Premise,Savings was down.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Premise,160.48,162.04,clip_6
7,7,7,27817,There was despair.,3,11_1984,7,7,2494,2513,,"{""Premise"": 3, ""O"": 1}",Premise,There was despair.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Premise,162.04,163.2,clip_7
8,8,8,27818,"In fact, the leadership of the country told the people that there was a malaise out there.",3,11_1984,8,8,2513,2604,,"{""O"": 19}",O,"In fact, the leadership of the country told the people that there was a malaise out there.",BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,O,163.2,167.92,clip_8
9,9,9,27819,And this president turned it around and I've been with him every step of the way.,3,11_1984,9,9,2604,2686,,"{""O"": 3, ""Claim"": 15}",Claim,And this president turned it around and I've been with him every step of the way.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Claim,167.92,172.56,clip_9
10,10,10,27820,And of course I would continue those kinds of programs because it's brought America back.,3,11_1984,10,10,2686,2776,,"{""O"": 5, ""Claim"": 7, ""Premise"": 5}",Claim,And of course I would continue those kinds of programs because it's brought America back.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Mixed,172.56,178.28,clip_10
11,11,11,27821,America's better off.,3,11_1984,11,11,2776,2798,,"{""Premise"": 4, ""O"": 1}",Premise,America's better off.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Premise,178.28,179.64,clip_11
12,12,12,27822,People are going back to work.,3,11_1984,12,12,2798,2829,,"{""Premise"": 7}",Premise,People are going back to work.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Premise,179.64,181.44,clip_12
13,13,13,27823,"And why Mr. Monad can't understand that there's a new enthusiasm in this country, that America is back, there's new strong leadership, I don't know.",3,11_1984,13,13,2829,2978,,"{""O"": 3, ""Premise"": 26, ""Claim"": 4}",Premise,"And why Mr. Monad can't understand that there's a new enthusiasm in this country, that America is back, there's new strong leadership, I don't know.",BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,Mixed,181.44,191.0,clip_13
14,14,14,27824,He has one answer to the problem.,3,11_1984,14,14,2978,3012,,"{""O"": 8}",O,He has one answer to the problem.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,O,191.0,193.16,clip_14
15,15,15,27825,Raise everybody's taxes.,3,11_1984,15,15,3012,3037,,"{""O"": 5}",O,Raise everybody's taxes.,BUSH,Candidate,TRAIN,11 Oct 1984,1984,George H. W. Bush,O,193.16,194.56,clip_15
