,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,0,21027,"ROMNEY: Thank you, Jeremy.",4,39_2012,0,0,1751,1778,,"{""O"": 7}",O," Thank you, Jeremy.",ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,O,122.8,123.76,clip_0
1,1,1,21028,"I appreciate your -- your question, and thank you for being here this evening and to all of those from Nassau County that have come, thank you for your time.",4,39_2012,1,1,1778,1936,,"{""O"": 33}",O,"I appreciate your -- your question, and thank you for being here this evening and to all of those from Nassau County that have come, thank you for your time.",ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,O,123.76,130.4,clip_1
2,2,2,21029,Thank you to Hofstra University and to Candy Crowley for organizing and leading this -- this event.,4,39_2012,2,2,1936,2036,,"{""O"": 18}",O,Thank you to Hofstra University and to Candy Crowley for organizing and leading this -- this event.,ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,O,130.4,136.08,clip_2
3,3,3,21030,"Thank you, Mr. President, also for being part of this -- this debate.",4,39_2012,3,3,2036,2106,,"{""O"": 16}",O,"Thank you, Mr. President, also for being part of this -- this debate.",ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,O,136.08,140.2,clip_3
4,4,4,21031,Your question -- your question is one that's being asked by college kids all over this country.,4,39_2012,4,4,2107,2203,,"{""O"": 19}",O,Your question -- your question is one that's being asked by college kids all over this country.,ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,O,140.2,144.76,clip_4
5,5,5,21032,"I was in Pennsylvania with someone who had just graduated -- this was in Philadelphia -- and she said, ""I've got my degree.",4,39_2012,5,5,2203,2327,,"{""Premise"": 20, ""O"": 7}",Premise,"I was in Pennsylvania with someone who had just graduated -- this was in Philadelphia -- and she said, ""I've got my degree.",ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,144.76,151.32,clip_5
6,6,6,21033,I can't find a job.,4,39_2012,6,6,2327,2347,,"{""Premise"": 7}",Premise,I can't find a job.,ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,151.32,152.52,clip_6
7,7,7,21034,I've got three part- time jobs.,4,39_2012,7,7,2347,2379,,"{""Premise"": 8}",Premise,I've got three part- time jobs.,ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,152.52,154.48,clip_7
8,8,8,21035,They're just barely enough to pay for my food and pay for an apartment.,4,39_2012,8,8,2379,2451,,"{""Premise"": 16}",Premise,They're just barely enough to pay for my food and pay for an apartment.,ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,154.48,157.32,clip_8
9,9,9,21036,"I can't begin to pay back my student loans.""",4,39_2012,9,9,2451,2496,,"{""Premise"": 10, ""O"": 2}",Premise,"I can't begin to pay back my student loans.""",ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,Premise,157.32,159.8,clip_9
10,10,10,21037,So what we have to do is two things.,4,39_2012,10,10,2497,2534,,"{""O"": 10}",O,So what we have to do is two things.,ROMNEY,Candidate,VALIDATION,16 Oct 2012,2012,Willard(Mitt) M. Romney,O,159.8,161.28,clip_10
