,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
28525,"KERRY: Yes, I certainly do.",2,31_2004,0,0,2134,2162,,"{""O"": 8}",O," Yes, I certainly do.",KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,O,174.24,175.76,NOT_FOUND
28526,"(LAUGHTER)  But let me just first, Cheryl, if you will, I want to thank Charlie for moderating.",2,31_2004,1,1,2162,2258,,"{""O"": 23}",O,"(LAUGHTER)  But let me just first, Cheryl, if you will, I want to thank Charlie for moderating.",KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,O,175.76,181.96,NOT_FOUND
28527,I want to thank Washington University for hosting us here this evening.,2,31_2004,2,2,2258,2330,,"{""O"": 13}",O,I want to thank Washington University for hosting us here this evening.,KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,O,181.96,185.68,NOT_FOUND
28528,"Mr. President, it's good to be with you again this evening, sir.",2,31_2004,3,3,2331,2396,,"{""O"": 16}",O,"Mr. President, it's good to be with you again this evening, sir.",KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,O,185.68,188.88,NOT_FOUND
28529,"Cheryl, the president didn't find weapons of mass destruction in Iraq, so he's really turned his campaign into a weapon of mass deception.",2,31_2004,4,4,2397,2536,,"{""O"": 3, ""Premise"": 25}",Premise,"Cheryl, the president didn't find weapons of mass destruction in Iraq, so he's really turned his campaign into a weapon of mass deception.",KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Premise,188.88,199.76,NOT_FOUND
28530,And the result is that you've been bombarded with advertisements suggesting that I've changed a position on this or that or the other.,2,31_2004,5,5,2536,2671,,"{""O"": 6, ""Claim"": 20}",Claim,And the result is that you've been bombarded with advertisements suggesting that I've changed a position on this or that or the other.,KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Claim,199.76,208.32,NOT_FOUND
28531,"Now, the three things they try to say I've changed position on are the Patriot Act; I haven't.",2,31_2004,6,6,2672,2767,,"{""O"": 7, ""Premise"": 13, ""Claim"": 3}",Premise,"Now, the three things they try to say I've changed position on are the Patriot Act; I haven't.",KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Mixed,208.32,211.92,NOT_FOUND
28532,I support it.,2,31_2004,7,7,2767,2781,,"{""Claim"": 3, ""O"": 1}",Claim,I support it.,KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Claim,223.24,224.0,NOT_FOUND
28533,"I just don't like the way John Ashcroft has applied it, and we're going to change a few things.",2,31_2004,8,8,2781,2877,,"{""Premise"": 12, ""O"": 3, ""Claim"": 8}",Premise,"I just don't like the way John Ashcroft has applied it, and we're going to change a few things.",KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Mixed,212.92,217.56,NOT_FOUND
28534,The chairman of the Republican Party thinks we ought to change a few things.,2,31_2004,9,9,2877,2954,,"{""Premise"": 14, ""O"": 1}",Premise,The chairman of the Republican Party thinks we ought to change a few things.,KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Premise,217.56,221.12,NOT_FOUND
28535,"No Child Left Behind Act, I voted for it.",2,31_2004,10,10,2955,2997,,"{""Premise"": 9, ""O"": 2}",Premise,"No Child Left Behind Act, I voted for it.",KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Premise,221.12,223.24,NOT_FOUND
28536,I support it.,2,31_2004,11,11,2767,2781,,{},,I support it.,KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Mixed,223.24,224.0,NOT_FOUND
28537,I support the goals.,2,31_2004,12,12,3011,3032,,"{""Claim"": 4, ""O"": 1}",Claim,I support the goals.,KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Claim,224.0,225.32,NOT_FOUND
28538,But the president has underfunded it by $28 billion.,2,31_2004,13,13,3033,3086,,"{""O"": 2, ""Premise"": 9}",Premise,But the president has underfunded it by $28 billion.,KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Premise,225.32,228.96,NOT_FOUND
28539,"Right here in St. Louis, you've laid off 350 teachers.",2,31_2004,14,14,3087,3142,,"{""Premise"": 12, ""O"": 1}",Premise,"Right here in St. Louis, you've laid off 350 teachers.",KERRY,Candidate,VALIDATION,08 Oct 2004,2004,John F. Kerry,Premise,228.96,233.12,NOT_FOUND
