,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
22554,"BIDEN: What is was, it was a tragedy, Martha.",2,38_2012,0,0,1626,1672,,"{""O"": 9, ""Claim"": 4}",O," What is was, it was a tragedy, Martha.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,123.6,125.44,NOT_FOUND
22555,It -- Chris Stevens was one of our best.,2,38_2012,1,1,1672,1713,,"{""O"": 3, ""Premise"": 7}",Premise,It -- Chris Stevens was one of our best.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,125.44,128.88,NOT_FOUND
22556,We lost three other brave Americans.,2,38_2012,2,2,1713,1750,,"{""Premise"": 6, ""O"": 1}",Premise,We lost three other brave Americans.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,128.88,130.76,NOT_FOUND
22557,I can make absolutely two commitments to you and all the American people tonight.,2,38_2012,3,3,1750,1832,,"{""O"": 15}",O,I can make absolutely two commitments to you and all the American people tonight.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,130.76,135.24,NOT_FOUND
22558,"One, we will find and bring to justice the men who did this.",2,38_2012,4,4,1832,1893,,"{""O"": 3, ""Claim"": 12}",Claim,"One, we will find and bring to justice the men who did this.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,135.24,141.08,NOT_FOUND
22559,"And secondly, we will get to the bottom of it, and whatever -- wherever the facts lead us, wherever they lead us, we will make clear to the American public, because whatever mistakes were made will not be made again.",2,38_2012,5,5,1893,2110,,"{""O"": 29, ""Claim"": 17}",O,"And secondly, we will get to the bottom of it, and whatever -- wherever the facts lead us, wherever they lead us, we will make clear to the American public, because whatever mistakes were made will not be made again.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,141.08,151.6,NOT_FOUND
22560,"When you're looking at a president, Martha, it seems to me that you should take a look at his most important responsibility.",2,38_2012,6,6,2111,2236,,"{""Claim"": 25, ""O"": 1}",Claim,"When you're looking at a president, Martha, it seems to me that you should take a look at his most important responsibility.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,151.6,158.28,NOT_FOUND
22561,That's caring for the national security of the country.,2,38_2012,7,7,2236,2292,,"{""Claim"": 10, ""O"": 1}",Claim,That's caring for the national security of the country.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,158.28,161.0,NOT_FOUND
22562,And the best way to do that is take a look at how he's handled the issues of the day.,2,38_2012,8,8,2292,2378,,"{""O"": 2, ""Claim"": 20}",Claim,And the best way to do that is take a look at how he's handled the issues of the day.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,161.0,165.36,NOT_FOUND
22563,"On Iraq, the president said he would end the war.",2,38_2012,9,9,2379,2429,,"{""Premise"": 11, ""O"": 1}",Premise,"On Iraq, the president said he would end the war.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,165.36,168.6,NOT_FOUND
22564,"Governor Romney said that was a tragic mistake, we should have left 30,000 -- he ended it.",2,38_2012,10,10,2429,2520,,"{""Premise"": 18, ""O"": 1}",Premise,"Governor Romney said that was a tragic mistake, we should have left 30,000 -- he ended it.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,168.6,173.56,NOT_FOUND
22565,"Governor Romney said that was a tragic mistake, we should have left 30,000 troops there.",2,38_2012,11,11,2520,2609,,"{""Premise"": 16, ""O"": 1}",Premise,"Governor Romney said that was a tragic mistake, we should have left 30,000 troops there.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,173.56,177.96,NOT_FOUND
22566,"With regard to Afghanistan, he said he will end the war in 2014.",2,38_2012,12,12,2610,2675,,"{""Premise"": 14, ""O"": 1}",Premise,"With regard to Afghanistan, he said he will end the war in 2014.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,177.96,182.04,NOT_FOUND
22567,"Governor Romney said we should not set a date, number one.",2,38_2012,13,13,2675,2734,,"{""Premise"": 12, ""O"": 1}",Premise,"Governor Romney said we should not set a date, number one.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,182.04,185.36,NOT_FOUND
22568,"And number two, with regard to 2014, it depends.",2,38_2012,14,14,2734,2783,,"{""O"": 2, ""Premise"": 10}",Premise,"And number two, with regard to 2014, it depends.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,185.36,188.96,NOT_FOUND
