,Unnamed: 0,Unnamed: 0.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,4535,"OBAMA: Well, thank you very much, Jim, and thanks to the commission and the University of Mississippi, Ole Miss, for hosting us tonight.",1,33_2008,0,0,1564,1701,,"{""O"": 30}",O," Well, thank you very much, Jim, and thanks to the commission and the University of Mississippi, Ole Miss, for hosting us tonight.",OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,O,134.72,141.04,clip_0
1,1,4536,I can't think of a more important time for us to talk about the future of the country.,1,33_2008,1,1,1701,1788,,"{""O"": 20}",O,I can't think of a more important time for us to talk about the future of the country.,OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,O,141.04,146.24,clip_1
2,2,4537,"You know, we are at a defining moment in our history.",1,33_2008,2,2,1788,1842,,"{""O"": 4, ""Premise"": 9}",Premise,"You know, we are at a defining moment in our history.",OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,Premise,146.24,150.36,clip_2
3,3,4538,"Our nation is involved in two wars, and we are going through the worst financial crisis since the Great Depression.",1,33_2008,3,3,1842,1958,,"{""Premise"": 19, ""O"": 3}",Premise,"Our nation is involved in two wars, and we are going through the worst financial crisis since the Great Depression.",OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,Premise,150.36,156.84,clip_3
4,4,4539,"And although we've heard a lot about Wall Street, those of you on Main Street I think have been struggling for a while, and you recognize that this could have an impact on all sectors of the economy.",1,33_2008,4,4,1959,2159,,"{""O"": 31, ""Premise"": 11}",O,"And although we've heard a lot about Wall Street, those of you on Main Street I think have been struggling for a while, and you recognize that this could have an impact on all sectors of the economy.",OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,Mixed,156.84,168.44,clip_4
5,5,4540,"And you're wondering, how's it going to affect me?",1,33_2008,5,5,2160,2211,,"{""O"": 6, ""Premise"": 7}",Premise,"And you're wondering, how's it going to affect me?",OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,Premise,168.44,170.72,clip_5
6,6,4541,How's it going to affect my job?,1,33_2008,6,6,2211,2244,,"{""Premise"": 8, ""O"": 1}",Premise,How's it going to affect my job?,OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,Premise,170.72,171.96,clip_6
7,7,4542,How's it going to affect my house?,1,33_2008,7,7,2244,2279,,"{""Premise"": 8, ""O"": 1}",Premise,How's it going to affect my house?,OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,Premise,171.96,173.52,clip_7
8,8,4543,How's it going to affect my retirement savings or my ability to send my children to college?,1,33_2008,8,8,2279,2372,,"{""Premise"": 18, ""O"": 1}",Premise,How's it going to affect my retirement savings or my ability to send my children to college?,OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,Premise,173.52,178.28,clip_8
9,9,4544,"So we have to move swiftly, and we have to move wisely.",1,33_2008,9,9,2373,2429,,"{""O"": 4, ""Claim"": 10}",Claim,"So we have to move swiftly, and we have to move wisely.",OBAMA,Candidate,TRAIN,26 Sep 2008,2008,Barack H. Obama,Claim,178.28,183.08,clip_9
