,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
25532,"REAGAN: I don't know what the differences might be, because I don't know what Mr. Carter's policies are.",3,9_1980,0,0,2782,2887,,"{""O"": 5, ""Claim"": 9, ""Premise"": 10}",Premise," I don't know what the differences might be, because I don't know what Mr. Carter's policies are.",REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Mixed,186.56,191.84,NOT_FOUND
25533,I do know what he has said about mine.,3,9_1980,1,1,2887,2926,,"{""O"": 10}",O,I do know what he has said about mine.,REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,O,191.84,194.92,NOT_FOUND
25534,"And I'm only here to tell you that I believe with all my heart that our first priority must be world peace, and that use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security.",3,9_1980,2,2,2926,3175,,"{""O"": 13, ""Claim"": 14, ""Premise"": 26}",Premise,"And I'm only here to tell you that I believe with all my heart that our first priority must be world peace, and that use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security.",REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Mixed,194.92,216.72,NOT_FOUND
25535,"Now, I believe, also, that this meeting this mission, this responsibility for preserving the peace, which I believe is a responsibility peculiar to our country, and that we cannot shirk our responsibility as a leader of the free world because we're the only ones that can do it.",3,9_1980,3,3,3175,3454,,"{""O"": 16, ""Claim"": 32, ""Premise"": 9}",Claim,"Now, I believe, also, that this meeting this mission, this responsibility for preserving the peace, which I believe is a responsibility peculiar to our country, and that we cannot shirk our responsibility as a leader of the free world because we're the only ones that can do it.",REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Mixed,216.72,237.4,NOT_FOUND
25536,"Therefore, the burden of maintaining the peace falls on us.",3,9_1980,4,4,3454,3514,,"{""O"": 3, ""Claim"": 9}",Claim,"Therefore, the burden of maintaining the peace falls on us.",REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Claim,237.4,240.88,NOT_FOUND
25537,And to maintain that peace requires strength.,3,9_1980,5,5,3514,3560,,"{""O"": 2, ""Claim"": 6}",Claim,And to maintain that peace requires strength.,REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Claim,240.88,245.4,NOT_FOUND
25538,America has never gotten in a war because we were too strong.,3,9_1980,6,6,3560,3622,,"{""Claim"": 12, ""O"": 1}",Claim,America has never gotten in a war because we were too strong.,REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Claim,245.4,250.28,NOT_FOUND
25539,"We can get into a war by letting events get out of hand, as they have in the last three and a half years under the foreign policies of this Administration of Mr. Carter's, until we're faced each time with a crisis.",3,9_1980,7,7,3622,3837,,"{""Claim"": 13, ""O"": 3, ""Premise"": 31}",Premise,"We can get into a war by letting events get out of hand, as they have in the last three and a half years under the foreign policies of this Administration of Mr. Carter's, until we're faced each time with a crisis.",REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Mixed,250.28,264.12,NOT_FOUND
25540,And good management in preserving the peace requires that we control the events and try to intercept before they become a crisis.,3,9_1980,8,8,3837,3967,,"{""O"": 2, ""Premise"": 21}",Premise,And good management in preserving the peace requires that we control the events and try to intercept before they become a crisis.,REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Premise,264.12,277.12,NOT_FOUND
25541,I have seen four wars in my lifetime.,3,9_1980,9,9,3967,4005,,"{""Premise"": 8, ""O"": 1}",Premise,I have seen four wars in my lifetime.,REAGAN,Candidate,TEST,28 Oct 1980,1980,Ronald W. Reagan,Premise,277.12,281.16,NOT_FOUND
