,Unnamed: 0,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,921,CARTER: Yes.,2,5_1976,0,0,2353,2366,,"{""O"": 4}",O, Yes.,CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,O,144.84,145.16,clip_0
1,922,First of all is to recognize a tremendous economic strength in this country and to set the putting to - back to work of our people as a top priority.,2,5_1976,1,1,2366,2516,,"{""O"": 31}",O,First of all is to recognize a tremendous economic strength in this country and to set the putting to - back to work of our people as a top priority.,CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,O,145.16,155.52,clip_1
2,923,"This is uh - an effort that ought to be done primarily by strong leadership in the White House, the inspiration of our people, the tapping of uh - business, agriculture, industry, labor and government at all levels to work on this uh project.",2,5_1976,2,2,2516,2759,,"{""Claim"": 49, ""O"": 1}",Claim,"This is uh - an effort that ought to be done primarily by strong leadership in the White House, the inspiration of our people, the tapping of uh - business, agriculture, industry, labor and government at all levels to work on this uh project.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Claim,155.52,171.0,clip_2
3,924,"We'll never have uh - an end to the inflationary spiral, and we'll never have a balanced budget until we get our people back to work.",2,5_1976,3,3,2759,2893,,"{""Claim"": 21, ""Premise"": 8, ""O"": 1}",Claim,"We'll never have uh - an end to the inflationary spiral, and we'll never have a balanced budget until we get our people back to work.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Mixed,171.0,177.0,clip_3
4,925,There are several things that can be done specifically that are not now being done.,2,5_1976,4,4,2893,2977,,"{""Claim"": 15, ""O"": 1}",Claim,There are several things that can be done specifically that are not now being done.,CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Claim,177.0,180.2,clip_4
5,926,"First of all, to channel research and development funds into areas that will provide uh large numbers of jobs.",2,5_1976,5,5,2977,3088,,"{""Premise"": 20, ""O"": 1}",Premise,"First of all, to channel research and development funds into areas that will provide uh large numbers of jobs.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Premise,180.2,186.88,clip_5
6,927,"Secondly, we need to have a commitment in the uh private sector uh - to cooperate with government in matters like housing.",2,5_1976,6,6,3088,3211,,"{""Premise"": 23, ""O"": 1}",Premise,"Secondly, we need to have a commitment in the uh private sector uh - to cooperate with government in matters like housing.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Premise,186.88,196.04,clip_6
7,928,"Here a very small investment of taxpayer's money - in the housing field can bring large numbers of extra jobs, and the guarantee of mortgage loans, and the uh - putting forward of uh - two-0-two programs for housing for older people and so forth to cut down the roughly 20 percent unemployment that now exists in the - in the construction industry.",2,5_1976,7,7,3211,3560,,"{""O"": 2, ""Premise"": 65}",Premise,"Here a very small investment of taxpayer's money - in the housing field can bring large numbers of extra jobs, and the guarantee of mortgage loans, and the uh - putting forward of uh - two-0-two programs for housing for older people and so forth to cut down the roughly 20 percent unemployment that now exists in the - in the construction industry.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Premise,196.04,216.0,clip_7
8,929,"Another thing is to deal with our - uh needs in the central cities, where the unemployment rate is extremely high: sometimes among minority groups, or those who don't speak English, or who're black, or young people, or - 40 percent of the employment.",2,5_1976,8,8,3560,3811,,"{""Premise"": 52, ""O"": 1}",Premise,"Another thing is to deal with our - uh needs in the central cities, where the unemployment rate is extremely high: sometimes among minority groups, or those who don't speak English, or who're black, or young people, or - 40 percent of the employment.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Premise,216.0,228.64,clip_8
9,930,Here a CCC type program would be appropriate to channel money into the ah - cha- in - in into the sharing with the private sector and also local and state governments to employ young people who are now out of work.,2,5_1976,9,9,3811,4026,,"{""Premise"": 42, ""O"": 1}",Premise,Here a CCC type program would be appropriate to channel money into the ah - cha- in - in into the sharing with the private sector and also local and state governments to employ young people who are now out of work.,CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Premise,228.64,242.24,clip_9
10,931,"Another very important - uh aspect of our - uh economy would be to increase production in every way possible, uh to hold down - uh taxes on individuals, and to uh shift the tax burdens onto those who have avoided paying taxes in the past.",2,5_1976,10,10,4026,4265,,"{""Premise"": 48, ""O"": 1}",Premise,"Another very important - uh aspect of our - uh economy would be to increase production in every way possible, uh to hold down - uh taxes on individuals, and to uh shift the tax burdens onto those who have avoided paying taxes in the past.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Premise,242.24,257.32,clip_10
11,932,"These uh - kinds of specific things, uh none of which are being done now, would be a great help in - in reducing uh unemployment.",2,5_1976,11,11,4265,4395,,"{""Claim"": 28, ""O"": 1}",Claim,"These uh - kinds of specific things, uh none of which are being done now, would be a great help in - in reducing uh unemployment.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Claim,257.32,265.6,clip_11
12,933,"There is uh - uh an additional factor that needs to be done and covered very - very succinctly, and that is, to make sure that we have a good relationship between management - business on the one hand, and labor, on the other.",2,5_1976,12,12,4395,4622,,"{""Claim"": 48, ""O"": 1}",Claim,"There is uh - uh an additional factor that needs to be done and covered very - very succinctly, and that is, to make sure that we have a good relationship between management - business on the one hand, and labor, on the other.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Claim,265.6,282.08,clip_12
13,934,In a &gt; Transfer interrupted!,2,5_1976,13,13,4622,4654,,"{""O"": 8}",O,In a &gt; Transfer interrupted!,CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,O,282.08,284.24,clip_13
14,935,"ery high, we might channel specific uh targeted job - job - uh opportunities by paying part of the salary of unemployed people - uh and also sharing with uh - local governments the uh - payment of salaries which would uh - let us cut down the unemployment rate much lower, before we hit the inflationary level.",2,5_1976,14,14,4654,4965,,"{""O"": 4, ""Premise"": 57}",Premise,"ery high, we might channel specific uh targeted job - job - uh opportunities by paying part of the salary of unemployed people - uh and also sharing with uh - local governments the uh - payment of salaries which would uh - let us cut down the unemployment rate much lower, before we hit the inflationary level.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Premise,284.24,302.08,clip_14
15,936,"But I believe that by the end of the first four years of uh - of the next term we could have the unemployment down to 3 percent adult unemployment, which is about uh - 4 to 4 and a half percent overall uh controlled inflation rate and have a uh balance of growth of about - uh 4 to 6 percent, around 5 percent which would give us a balanced budget.",2,5_1976,15,15,4965,5314,,"{""O"": 3, ""Claim"": 29, ""Premise"": 43}",Premise,"But I believe that by the end of the first four years of uh - of the next term we could have the unemployment down to 3 percent adult unemployment, which is about uh - 4 to 4 and a half percent overall uh controlled inflation rate and have a uh balance of growth of about - uh 4 to 6 percent, around 5 percent which would give us a balanced budget.",CARTER,Candidate,TRAIN,23 Sep 1976,1976,Jimmy E. Carter,Mixed,302.08,321.04,clip_15
