,Unnamed: 0,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,13535,"NIXON: Good evening, Mr. Howe.",1,4_1960,0,0,334,365,,"{""O"": 8}",O," Good evening, Mr. Howe.",NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,O,23.48,24.96,clip_0
1,13536,"KENNEDY: Good evening, Mr. Howe.",3,4_1960,0,0,408,441,,"{""O"": 8}",O," Good evening, Mr. Howe.",KENNEDY,Candidate,TEST,21 Oct 1960,1960,John F. Kennedy,O,23.48,24.96,clip_1
2,13537,"NIXON: Mr. Howe, Senator Kennedy, my fellow Americans.",5,4_1960,0,0,1513,1568,,"{""O"": 12}",O," Mr. Howe, Senator Kennedy, my fellow Americans.",NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,O,92.48,98.08,clip_2
3,13538,Since this campaign began I have had a very rare privilege.,5,4_1960,1,1,1568,1628,,"{""Premise"": 11, ""O"": 1}",Premise,Since this campaign began I have had a very rare privilege.,NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,Premise,98.08,101.92,clip_3
4,13539,I have traveled to forty-eight of the fifty states and in my travels I have learned what the people of the United States are thinking about.,5,4_1960,2,2,1628,1769,,"{""Premise"": 26, ""O"": 1}",Premise,I have traveled to forty-eight of the fifty states and in my travels I have learned what the people of the United States are thinking about.,NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,Premise,101.92,110.72,clip_4
5,13540,"There is one issue that stands out above all the rest, one in which every American is concerned, regardless of what group he may be a member and regardless of where he may live.",5,4_1960,3,3,1769,1947,,"{""Claim"": 36, ""O"": 1}",Claim,"There is one issue that stands out above all the rest, one in which every American is concerned, regardless of what group he may be a member and regardless of where he may live.",NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,Claim,110.72,122.56,clip_5
6,13541,"And that issue, very simply stated, is this: how can we keep the peace - keep it without surrender?",5,4_1960,4,4,1947,2047,,"{""O"": 1, ""Claim"": 22}",Claim,"And that issue, very simply stated, is this: how can we keep the peace - keep it without surrender?",NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,Claim,122.56,130.52,clip_6
7,13542,How can we extend freedom - extend it without war?,5,4_1960,5,5,2047,2098,,"{""Claim"": 11}",Claim,How can we extend freedom - extend it without war?,NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,Claim,130.52,136.6,clip_7
8,13543,"Now in determining how we deal with this issue, we must find the answer to a very important but simple question: who threatens the peace?",5,4_1960,6,6,2098,2236,,"{""O"": 1, ""Claim"": 27}",Claim,"Now in determining how we deal with this issue, we must find the answer to a very important but simple question: who threatens the peace?",NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,Claim,136.6,148.44,clip_8
9,13544,Who threatens freedom in the world?,5,4_1960,7,7,2236,2272,,"{""Claim"": 7}",Claim,Who threatens freedom in the world?,NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,Claim,148.44,150.76,clip_9
10,13545,There is only one threat to peace and one threat to freedom - that that is presented by the international Communist movement.,5,4_1960,8,8,2272,2398,,"{""Claim"": 22, ""O"": 1}",Claim,There is only one threat to peace and one threat to freedom - that that is presented by the international Communist movement.,NIXON,Candidate,TEST,21 Oct 1960,1960,Richard M. Nixon,Claim,150.76,157.72,clip_10
