,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,0,26147,"DUKAKIS: No, I don't, Bernard.",2,15_1988,0,0,968,999,,"{""O"": 5, ""Claim"": 5}",O," No, I don't, Bernard.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Mixed,99.28,103.4,clip_0
1,1,1,26148,And I think you know that I've opposed the death penalty during all of my life.,2,15_1988,1,1,999,1079,,"{""O"": 7, ""Premise"": 11}",Premise,And I think you know that I've opposed the death penalty during all of my life.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,103.4,108.64,clip_1
2,2,2,26149,"I don't see any evidence that it's a deterrent, and I think there are better and more effective ways to deal with violent crime.",2,15_1988,2,2,1079,1208,,"{""Premise"": 11, ""O"": 3, ""Claim"": 14}",Claim,"I don't see any evidence that it's a deterrent, and I think there are better and more effective ways to deal with violent crime.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Mixed,108.64,114.88,clip_2
3,3,3,26150,We've done so in my own state.,2,15_1988,3,3,1208,1239,,"{""Premise"": 8, ""O"": 1}",Premise,We've done so in my own state.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,114.88,116.72,clip_3
4,4,4,26151,And it's one of the reasons why we have had the biggest drop in crime of any industrial state in America; why we have the lowest murder rate of any industrial state in America.,2,15_1988,4,4,1239,1416,,"{""O"": 11, ""Premise"": 26}",Premise,And it's one of the reasons why we have had the biggest drop in crime of any industrial state in America; why we have the lowest murder rate of any industrial state in America.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,116.72,126.6,clip_4
5,5,5,26152,But we have work to do in this nation.,2,15_1988,5,5,1416,1455,,"{""O"": 2, ""Claim"": 8}",Claim,But we have work to do in this nation.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,126.6,129.44,clip_5
6,6,6,26153,"We have work to do to fight a real war, not a phony war, against drugs.",2,15_1988,6,6,1455,1527,,"{""Claim"": 18, ""O"": 1}",Claim,"We have work to do to fight a real war, not a phony war, against drugs.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,129.44,132.48,clip_6
7,7,7,26154,"And that's something I want to lead, something we haven't had over the course of the past many years, even though the Vice President has been at least allegedly in charge of that war.",2,15_1988,7,7,1527,1711,,"{""O"": 13, ""Claim"": 13, ""Premise"": 13}",O,"And that's something I want to lead, something we haven't had over the course of the past many years, even though the Vice President has been at least allegedly in charge of that war.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Mixed,132.48,142.76,clip_7
8,8,8,26155,"We have much to do to step up that war, to double the number of drug enforcement agents, to fight both here and abroad, to work with our neighbors in this hemisphere.",2,15_1988,8,8,1711,1878,,"{""Premise"": 32, ""O"": 4}",Premise,"We have much to do to step up that war, to double the number of drug enforcement agents, to fight both here and abroad, to work with our neighbors in this hemisphere.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,142.76,152.4,clip_8
9,9,9,26156,And I want to call a hemispheric summit just as soon after the 20th of January as possible to fight that war.,2,15_1988,9,9,1878,1988,,"{""O"": 2, ""Claim"": 21}",Claim,And I want to call a hemispheric summit just as soon after the 20th of January as possible to fight that war.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,152.4,158.04,clip_9
10,10,10,26157,But we also have to deal with drug education prevention here at home.,2,15_1988,10,10,1988,2058,,"{""O"": 2, ""Claim"": 12}",Claim,But we also have to deal with drug education prevention here at home.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,158.04,161.68,clip_10
11,11,11,26158,And that's one of the things that I hope I can lead personally as the President of the United States.,2,15_1988,11,11,2058,2160,,"{""O"": 22}",O,And that's one of the things that I hope I can lead personally as the President of the United States.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,O,161.68,166.24,clip_11
12,12,12,26159,We've had great success in my own state.,2,15_1988,12,12,2160,2201,,"{""Premise"": 9, ""O"": 1}",Premise,We've had great success in my own state.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,166.24,169.04,clip_12
13,13,13,26160,And we've reached out to young people and their families and been able to help them by beginning drug education and prevention in the early elementary grades.,2,15_1988,13,13,2201,2360,,"{""O"": 2, ""Premise"": 27}",Premise,And we've reached out to young people and their families and been able to help them by beginning drug education and prevention in the early elementary grades.,DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Premise,169.04,177.0,clip_13
14,14,14,26161,"So we can fight this war, and we can win this war.",2,15_1988,14,14,2360,2411,,"{""O"": 4, ""Claim"": 10}",Claim,"So we can fight this war, and we can win this war.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,177.0,180.24,clip_14
15,15,15,26162,"And we can do so in a way that marshals our forces, that provides real support for state and local law enforcement officers who have not been getting that support, and do it in a way which will bring down violence in this nation, will help our youngsters to stay away from drugs, will stop this avalanche of drugs that's pouring into the country, and will make it possible for our kids and our families to grow up in safe and secure and decent neighborhoods.",2,15_1988,15,15,2411,2870,,"{""O"": 9, ""Claim"": 83}",Claim,"And we can do so in a way that marshals our forces, that provides real support for state and local law enforcement officers who have not been getting that support, and do it in a way which will bring down violence in this nation, will help our youngsters to stay away from drugs, will stop this avalanche of drugs that's pouring into the country, and will make it possible for our kids and our families to grow up in safe and secure and decent neighborhoods.",DUKAKIS,Candidate,TEST,13 Oct 1988,1988,Michael S. Dukakis,Claim,180.24,207.92,clip_15
