,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,"CHENEY: Gwen, I want to thank you, and I want to thank the folks here at Case Western Reserve for hosting this tonight.",1,30_2004,0,0,2101,2221,,"{""O"": 27}",O," Gwen, I want to thank you, and I want to thank the folks here at Case Western Reserve for hosting this tonight.",CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,O,126.52,131.08,NOT_FOUND
1,"It's a very important event, and they've done a superb job of putting it together.",1,30_2004,1,1,2221,2304,,"{""O"": 19}",O,"It's a very important event, and they've done a superb job of putting it together.",CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,O,131.08,134.4,NOT_FOUND
2,It's important to look at all of our developments in Iraq within the broader context of the global war on terror.,1,30_2004,2,2,2304,2418,,"{""O"": 23}",O,It's important to look at all of our developments in Iraq within the broader context of the global war on terror.,CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,O,134.4,140.56,NOT_FOUND
3,"And, after 9/11, it became clear that we had to do several things to have a successful strategy to win the global war on terror, specifically that we had to go after the terrorists wherever we might find them, that we also had to go after state sponsors of terror, those who might provide sanctuary or safe harbor for terror.",1,30_2004,3,3,2418,2744,,"{""O"": 16, ""Claim"": 50}",Claim,"And, after 9/11, it became clear that we had to do several things to have a successful strategy to win the global war on terror, specifically that we had to go after the terrorists wherever we might find them, that we also had to go after state sponsors of terror, those who might provide sanctuary or safe harbor for terror.",CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,Claim,140.56,158.92,NOT_FOUND
4,"And we also then finally had to stand up democracies in their stead afterwards, because that was the only way to guarantee that these states would not again become safe harbors for terror or for the development of deadly weapons.",1,30_2004,4,4,2744,2974,,"{""O"": 4, ""Claim"": 13, ""Premise"": 25}",Premise,"And we also then finally had to stand up democracies in their stead afterwards, because that was the only way to guarantee that these states would not again become safe harbors for terror or for the development of deadly weapons.",CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,Mixed,158.92,172.92,NOT_FOUND
5,"Concern about Iraq specifically focused on the fact that Saddam Hussein had been, for years, listed on the state sponsor of terror, that they he had established relationships with Abu Nidal, who operated out of Baghdad; he paid $25,000 to the families of suicide bombers; and he had an established relationship with Al Qaida.",1,30_2004,5,5,2975,3301,,"{""O"": 62}",O,"Concern about Iraq specifically focused on the fact that Saddam Hussein had been, for years, listed on the state sponsor of terror, that they he had established relationships with Abu Nidal, who operated out of Baghdad; he paid $25,000 to the families of suicide bombers; and he had an established relationship with Al Qaida.",CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,O,172.92,191.6,NOT_FOUND
6,"Specifically, look at George Tenet, the CIA director's testimony before the Committee on Foreign Relations two years ago when he talked about a 10-year relationship.",1,30_2004,6,6,3301,3467,,"{""O"": 29}",O,"Specifically, look at George Tenet, the CIA director's testimony before the Committee on Foreign Relations two years ago when he talked about a 10-year relationship.",CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,O,191.6,200.8,NOT_FOUND
7,The effort that we've mounted with respect to Iraq focused specifically on the possibility that this was the most likely nexus between the terrorists and weapons of mass destruction.,1,30_2004,7,7,3468,3651,,"{""O"": 31}",O,The effort that we've mounted with respect to Iraq focused specifically on the possibility that this was the most likely nexus between the terrorists and weapons of mass destruction.,CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,O,200.8,214.04,NOT_FOUND
8,The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.,1,30_2004,8,8,3652,3860,,"{""O"": 36}",O,The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.,CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,O,214.04,224.08,NOT_FOUND
9,What we did in Iraq was exactly the right thing to do.,1,30_2004,9,9,3861,3916,,"{""Claim"": 12, ""O"": 1}",Claim,What we did in Iraq was exactly the right thing to do.,CHENEY,Candidate,TRAIN,05 Oct 2004,2004,Richard(Dick) B. Cheney,Claim,224.08,226.88,NOT_FOUND
